medication,brand,class,diagnoses,addiction,adhd,agitation,anxiety,bipolar,depression,eating,insomnia,mania,movement,brain,psychosis,weight,sedation,hep1,hep2,hep3,hep4,ren1,ren2,ren3,ren4
trazodone,Desyrel,serotonin receptor antagonist,depression,0,0,0,0,0,1,0,0,0,0,0,0,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
triazolam,Halcion,GABA positive allosteric modulator,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
trifluoperazine,Stelazine,dopamine receptor agonist,"non-psychotic anxiety, schizophrenia",0,0,0,1,0,0,0,0,0,0,0,1,unusual,common,Contraindicated,Contraindicated,Contraindicated,Contraindicated,use with caution,use with caution,use with caution,use with caution
trihexyphenidyl,Artane,anticholinergic,"EPS, parkinsonism",0,0,0,0,0,0,0,0,0,1,0,0,unusual,common,Use with caution,Use with caution,Use with caution,Use with caution,use with caution,use with caution,use with caution,use with caution
trimipramine,Surmontil,tricyclic antidepressant,"depression, exogenous depression",0,0,0,0,0,1,0,0,0,0,0,0,common,common,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose,may need to lower dose
valproate,Depakote,voltage-sensitive sodium channel modulator,mania,0,0,0,0,0,0,0,0,1,0,0,0,common,problematic,Contraindicated,Contraindicated,Contraindicated,Contraindicated,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
varenicline,Chantix,acetylcholine receptor partial agonist,nicotine addiction,1,0,0,0,0,0,0,0,0,0,0,0,unusual,unusual,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,Dose adjustment not generally needed,use with caution,use with caution,maximum recommended dose is 0.5 mg twice per day,maximum recommended dose is 0.5 mg once per day; removed by dialysis
venlafaxine,Effexor,serotonin norepinephrine reuptake inhibitor,"GAD, panic disorder, social anxiety disorder, depression",0,0,0,1,0,1,0,0,0,0,0,0,unusual,not unusual,lower dose by 50%,lower dose by 50%,lower dose by 50%,lower dose by 50%,lower dose by 25-50%,lower dose by 25-50%,lower dose by 25-50%,"lower dose by 25-50%, patients on hemodialysis should not receive subsequent dose until dialysis is completed"
vilazodone,Viibryd,serotonin partial agonist reuptake inhibitor,MDD,0,0,0,0,0,1,0,0,0,0,0,0,unusual,unusual,No dose adjustment needed,No dose adjustment needed,Not studied,Not studied,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
vortioxetine,Trintellix,serotonin multi-modal,MDD,0,0,0,0,0,1,0,0,0,0,0,0,unusual,unusual,No dose adjustment needed,No dose adjustment needed,Not studied,Not studied,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
ziprasidone,Geodon,serotonin dopamine antagonist,"bipolar disorder, mania, schizophrenia",0,0,0,0,1,0,0,0,1,0,0,1,unusual,not unusual,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,No dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,not removed by hemodialysis
zolpidem,Ambien,GABA positive allosteric modulator,insomnia,0,0,0,0,0,0,0,1,0,0,0,0,unusual,common,"5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)","5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)","5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)","5 mg (immediate-release), 6.25 mg (controlled-release), 1.75 mg (Intermezzo)",no dose adjustment needed,no dose adjustment needed,no dose adjustment needed,no dose adjustment needed
